string,hash,bin_offset
ACTION_IntensityToAccel,CE BD 36 35 60 B7 6D 91,24316
ACTION_IntensityToSpeed,2A 7F 90 28 3A 54 B0 8E,24368
ACTION_IntensityToTurnSpeed,CA AE 6E 33 DD 35 68 03,24420
ACTION_IntensityToTurnSpeedSlow,D5 8D 26 EF 9A CF 92 E9,24472
ACTION_MaxCycleLength,59 12 83 6D 74 AF 11 D9,24524
ACTION_MinCycleLength,47 82 8D 26 02 47 53 F8,24576
ActorBaseMaxAcceleration,14 1F 0D 3C 03 FF 00 EC,
ActorBaseMaxSpeed,33 D4 68 3A 0B 3B 99 FF,
DistanceChangeDirectionCoefficient,90 17 4E 2D DF 1D B3 89,
DistanceToChangeDirectionAtFullSpeed,EA 0E C6 4F 83 69 D6 C8,
DistanceToChangeDirectionAtStop,BC 5D C4 3F D3 AB AD 2D,
DistanceToStopAtFullSpeed,48 B1 81 16 F8 59 91 D5,
EstimateTaskScale,6C 1B 17 CB AE 23 2C 98,
EstimateTaskTimeScale,BB C5 8C 45 38 64 BF 23,
MaxOversteerAngle,6C 7B D5 3F A6 67 A0 A2,
MaxSpeedHalvedRelMoveAngleSpeed,81 B8 95 0A F0 E7 B6 A8,
NoSuddenTurnDistance,79 EB 2D DA D0 78 55 3D,
NoSuddenTurnSpeed,B6 14 ED DD 98 5B D7 3E,
OversteerDistanceDampener,A6 DE B9 56 1C E1 D1 CC,
OversteerMagnification,CC 7A 0C 31 70 76 C4 73,
RunnerAcceleration,4F E7 83 86 3F 90 74 9B,
RunnerDeceleration,0F 38 8B 66 1A 7C 4B 3C,
StopAngle,85 06 B5 05 63 5A CD 3F,
StopAngleSpeed,3C 12 1B 77 61 41 CE 2A,
StopDistanceFn,5D FC D5 EE 40 F2 72 94,24628
StopDistanceFnUnit,D0 6B C8 83 CD 4C 59 59,
StopDistanceStrafeFactor,4E C9 EC C6 93 A9 11 BD,
StopRadius,4E AB B7 4E FB BD 2A DB,
StopRadiusSpeed,F3 F5 90 44 9A C6 BE 1E,
TimeToChangeDirectionAtFullSpeed,35 6A 27 7D 21 1B 00 2D,
TimeToChangeDirectionAtStop,B2 F0 4D 19 87 E3 F1 DF,
TimeToStopAtFullSpeed,85 8D DB AD 87 4C 8C 30,
FACE_AnticipationDistance,56 B3 34 6A 0B B7 CD C5,
FACE_EffortSpeedThreshold,8B A8 3F AD 3B 73 D7 58,
FACE_FatiguedSpeedThreshold,41 6A DE C2 F8 4C 0A 49,
FACE_JostlingEffortSpeedThreshold,40 8F 3D E4 6D D7 CA B1,
FACE_LongTermFatigueThreshold,E6 BB 77 1B 38 CB 4A A9,
FACE_ShortTermFatigueThreshold,F0 27 DA 7A F0 55 2A 01,
FACE_GameFaceSpeedThreshold,53 36 AC 5B 46 45 14 EC,
ATTR_AccelerationReductionByShortTermFatigue,99 92 CA 44 50 AE 43 29,11852
unknown,9D 5F F4 65 50 FD 49 FB,11944
ATTR_DribbleInterruptDelay,AD 57 7C D1 68 D9 DD 31,11996
unknown,51 3C 05 73 5A E3 C7 65,12048
unknown,EE 94 12 07 D9 F7 81 07,12100
unknown,E4 00 2D BD 43 5D 87 0D,
ATTR_DribbleJogAcceleration,AF 03 FD 54 2B 09 84 AE,
unknown,5D AA 2B C6 94 E0 26 AE,
unknown,94 B0 DF ED FC 67 F5 01,
ATTR_DribbleJogSpeed,8B AA 9F ED 83 51 1F D8,
ATTR_DribbleJogSpeedModifier,82 13 23 FF D2 B8 A1 E8,12152
ATTR_DribbleMinTouchInterruptPenalty,06 5B A0 70 21 E2 7C 27,
ATTR_DribbleMinTouchStretchPenalty,39 CE 7A B3 ED 0D 49 E4,
ATTR_DribbleMinTouchTime,1D 56 56 A0 CE 13 71 7F,12204
ATTR_DribbleSprintAccelerationTbl,BE CD 18 70 DC C2 CA A9,12284
unknown,15 5B FC 21 C9 8C 4B 37,12336
unknown,4B 8C 49 21 05 98 18 BD,
unknown,1C 3D 2F 96 AF 9D 12 49,
ATTR_DribbleSprintTouchSlowdownSpeed,A5 B4 F9 85 82 21 98 9C,12388
unknown,35 8F A9 FB 4B 99 65 6C,
unknown,F1 39 99 0E E6 74 A4 B9,
unknown,67 BF D0 56 C4 DB E6 BC,12440
unknown,F6 02 05 55 00 04 48 3B,
unknown,34 5C 02 17 C0 A0 C8 04,
unknown,0A 15 2D 4C 65 F9 8E 16,
unknown,46 F0 A7 FE 6A EE 33 60,12520
unknown,D7 E7 6B 63 B1 12 7A 26,12600
unknown,2A DA D6 22 54 4A FC BB,12680
unknown,55 77 AB 56 43 6E F5 11,12760
unknown,9C 2E CF 39 02 49 BE A1,12840
unknown,A6 02 9D ED C0 2B 91 37,12920
unknown,8D 01 01 B4 91 09 84 B7,13000
unknown,25 2F C7 B3 A0 44 52 BB,13080
ATTR_DribbleWalkAcceleration,8A 8A E9 B4 7E 45 82 F2,
ATTR_DribbleWalkSpeed,5B A0 A4 4F 77 B4 0F A7,
ATTR_JogAcceleration,24 1A B5 EE CC 61 DE 4A,
ATTR_JogSpeed,C8 B8 02 BC 17 04 F3 3C,
ATTR_ReactionTimeRate,3F B8 CB 0C F5 DC 88 8B,13160
ATTR_SkillMovesTimeRatioForDribble,83 24 5F 17 06 12 E3 79,13212
ATTR_SprintAccelerationTbl,64 6B 9A 6A 7A 09 73 7A,13264
ATTR_SprintAccelerationTblMinMax,8B 59 63 37 F1 91 0B EE,13356
ATTR_SprintReduceTbl,90 77 84 7C 86 DD 41 E3,13372
ATTR_SprintSpeedFatiguedTbl,62 9E 10 BE EB C4 C9 92,13464
ATTR_SprintSpeedFatiguedTblMinMax_Fast,31 20 93 3B A1 16 B3 9E,13556
ATTR_SprintSpeedFatiguedTblMinMax_Normal,C6 A6 B8 47 7A B1 14 AA,13572
ATTR_SprintSpeedFatiguedTblMinMax_Slow,F6 A9 50 36 D4 DE F5 2D,13588
ATTR_SprintSpeedTbl,B1 EF 1E 4B 2B 7E DE D6,13604
ATTR_SprintSpeedTblMinMax_Fast,F8 13 DF 02 81 66 44 5F,13696
ATTR_SprintSpeedTblMinMax_Normal,45 A4 7D 08 44 23 C0 08,13712
ATTR_SprintSpeedTblMinMax_Slow,E5 8E 51 F0 E5 A7 2E D3,13728
ATTR_TurnIntensityClampForRun,1D B6 EB DF 50 27 E4 40,13744
ATTR_TurnTimeRatioForContextualDribble,1B 32 29 4B EC 97 3D 27,13796
ATTR_TurnTimeRatioForDribble,1A 4A 3E 8D B9 DA 7A A4,13848
ATTR_TurnTimeRatioForSprintDribble,64 D7 0A 1D 4E 95 CF DF,13900
ATTR_WalkAcceleration,A8 F2 0C E5 2A 8B 48 F3,
ATTR_WalkSpeed,49 03 A0 B2 C6 C6 E0 AA,
DribbleSprintTouchSlowdownSpeedByAngle,0B 83 3E 2B 00 0E 06 D2,13952
dribbleAggressivenessByDistFromAttackingGoalDifficultyModifier,05 52 15 2E 59 3B 66 E6,21992
dribbleAggressivenessByDistFromAttackingGoalForMaxSkill,59 EE 7B D5 59 06 3F C0,22072
dribbleAggressivenessByDistFromAttackingGoalForMinSkill,7D 7F 6C A9 90 00 B7 85,22152
dribbleAggressivenessByDistFromAttackingGoalMappingCurve,AD 78 1F 33 50 21 A1 FC,22232
dribbleAggressivenessByDistFromDefensiveLineForMaxSkill,88 D3 72 6B 11 CC 45 6B,22312
dribbleAggressivenessByDistFromDefensiveLineForMinSkill,2C C1 09 6B A6 34 3E C7,22392
dribbleAggressivenessByDistFromDefensiveLineMappingCurve,DE 27 70 55 61 37 6F EA,22472
dribbleSafetyChanceToPredictDefenderFuturePosDifficultyForMaxSkill,A7 41 87 A4 70 DE F2 E0,22552
dribbleSafetyChanceToPredictDefenderFuturePosDifficultyForMinSkill,68 A0 63 C4 21 CA 06 58,22632
dribbleSafetyChanceToPredictDefenderFuturePosDifficultyMappingCurve,A2 DC D1 5D 65 D7 AC 4E,22712
dribbleSkillMoveDisable,9E 2B 29 08 8C 69 BE C0,
dribbleTargetUpdateFrequencyDifficultyTable,DB 4A 99 78 69 79 DA 1D,22792
dribbleTargetUpdateFrequencyMaxDifficulty,66 A1 C7 9A DF 2D E6 88,22872
dribbleTargetUpdateFrequencyMinDifficulty,97 BA 20 EE F8 1D CF 7A,22952
dribbleToStopBallPosPPDribbleRatingModThreshold,0B 69 73 BD F7 5A 7B C3,23032
dribbleToStopThresholdBasedOnScaleDistToAttackGoal,86 AF 17 E7 AA ED 8D CA,23112
dribbleToStopThresholdModBasedOnSpeed,CC 86 E3 FF 69 27 40 E3,23192
dribbleUpdateFrequencyDifficultyTable,75 B4 DD 69 10 31 AF 57,23272
